via,km,Ciudad,siniestralidad
N-634, Km 104-107,Bizkaia,23 accidentes 30 heridos leves 1 grave
PO-311, km 12-15,Pontevedra,13 accidentes 19 heridos leves 1 fallecido
CV-821, Km 5-8,Alicante,11 accidentes 11 heridos leves
CV-670, Km 1-4,Valencia,10 accidentes 11 heridos leves
GR-3304, Km 2-5,Granada,8 accidentes 12 heridos leves 1 grave
N-122, km 358,Valladolid,null
N-632, km 55,Asturias,null
A-55,null,Pontevedra,null
N-630,null,Asturias,null
N-432, km 142 -153,Badajoz,null
N-260, km 117 y 179,Gerona,null
N-234, km 398 ? 408,Soria,null
N-330, km 624 ? 643,Huesca,null
N-629, km 33 ?  48,Burgos,null
N-320, km 177,Cuenca,null
